City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
293,Nacala,MZ,2020-07-11 03:33:15,-14.54,40.67,66.11,83,10,4.29
294,Xining,CN,2020-07-11 03:33:15,36.62,101.77,63.57,47,100,2.71
295,Camacha,PT,2020-07-11 03:33:15,33.08,-16.33,68.0,77,40,12.75
296,Nuuk,GL,2020-07-11 03:33:15,64.18,-51.72,44.6,81,64,6.93
297,Mukhen,RU,2020-07-11 03:33:15,48.1,136.1,77.04,55,74,7.67
298,Lingao,CN,2020-07-11 03:33:15,19.91,109.69,95.45,51,100,9.71
299,Srono,ID,2020-07-11 03:33:15,-8.4,114.27,81.64,72,88,5.17
300,Mecca,SA,2020-07-11 03:31:30,21.43,39.83,87.58,20,6,5.97
301,Mbandaka,CD,2020-07-11 03:33:16,0.05,18.26,69.75,92,100,4.07
302,Bilibino,RU,2020-07-11 03:33:16,68.05,166.44,68.11,57,100,2.59
303,Siparia,TT,2020-07-11 03:29:37,10.13,-61.5,78.8,83,20,5.82
